"","subjectid","race_rv","gender","chicago","base_enjoy","base_worry","tma_sum_rv","cries_sum_rv","worry_durimm_avg","worry_del_avg","enjoy_del_avg","enjoy_durimm_avg","understand_avg","mw_day1_sum","mw_day2_sum","si_sum"
"49","Ar050","5",1,1,0,0,11,2,0.666667,1.66667,0,1.33333,87,19,8,32
"50","Ar051","5",0,1,2,2,5,4,0.333333,0.666667,4,3.33333,99.2857,5,5,58
"51","Ar052","4",1,1,2,1,12,2,1,1.66667,2.33333,2.66667,46.7143,15,12,44
"52","Ar053","4",1,1,4,0,9,4,0,0.333333,2.33333,3.66667,5.85714,10,15,53
"53","Ar054","5",0,1,2,1,15,7,0.833333,1.33333,2.33333,2.16667,91.1429,8,18,30
"54","Ar055","4",0,1,2,0,5,0,1.6,0,2.66667,2,14.1429,8,30,60
"55","Ar056","5",0,1,2,1,13,6,1.16667,1,2,2.16667,50.1429,15,15,48
"56","Ar057","5",0,1,1,0,15,7,0.166667,0,2.33333,0.333333,30,26,6,51
"57","Ar058","4",1,1,3,0,8,1,0.333333,0.333333,2.33333,2.5,90,5,5,49
"58","Ar059","4",1,1,1.46319481717419,0,8,10,2.5,2,0,0,33.8571,15,16,33
"59","Ar060","2",0,1,3,0,7,4,0,0,3,3,98.7143,6,8,47
"60","Ar061","4",0,0,2,3,8,9,0.666667,1.33333,2.66667,3.5,42,15,21,44
"61","Bs062","5",1,0,3,1,8,13,0.833333,0.333333,4,3.16667,70.1429,16,11,55
"62","Bs063","1",1,0,3,1,17,1,1.16667,0,2.33333,2.83333,90.5714,11,10,40
"63","Bs064","1",1,0,4,0,9,3,0,0,4,4,98.4286,14,10,40
"64","Bs066a","1",0,0,3,3,10,9,0.5,0.333333,2.66667,3.66667,93,11,7,38
"65","Bs067","4",1,0,3,3,23,14,3.66667,3,1.33333,1.33333,90,21,22,25
"66","Bs068","1",1,0,1,1,7,4,0.333333,0,1.33333,0.666667,57.8571,8,8,30
"67","Bs069","1",0,0,3,1,7,6,1.83333,0.333333,3.66667,2.33333,91.2857,8,8,45
"68","Bs070","5",0,0,3,1,5,6,0.5,0,2.33333,2.83333,98.8571,10,9,52
"69","Bs071","5",1,0,2,0,7,2,0.5,0,1.66667,2.33333,96,6,5,36
"70","Bs072","1",1,0,2,4,13,13,3.5,3,1.66667,1.66667,95,10,7,43
"71","Bs073","5",1,0,2,3,11.7115029405948,7,2,1.37421952870055,1.52298658688176,1.33333,98,11.6699619147711,8.43137658376251,37.9010904094345
"72","Bs074","3",1,0,4,2,6,2,0.5,0,3.66667,3.66667,87.7143,9,9,50
"73","Bs075","3",1,0,3,1,6,3,0.333333,0,3.66667,3.33333,90,8,9,58
"74","Bs076","5",1,0,2,1,7,5,0.333333,0,1.33333,1.83333,94.8571,12,7,36
"75","Bs077","3",1,0,2,1,9,7,0.833333,0.333333,2.33333,2.5,98.5714,6,5,56
"76","Bs078","4",1,0,3,1,8.68050840454903,4,0.5,0.393119127996863,2.82538332982608,3,76.9542300618349,8.24353341507733,8.10052384721806,44.4594822754439
"77","Bs079","1",0,0,3,0,8,4,0.166667,0,2,1.83333,80.7143,7,5,48
"78","Bs080","5",1,0,2,1,10,6,0.5,0.333333,2,1.66667,75.2857,6,7,48
"79","Bs081","4",1,0,2,0,13,7,0,0,0,1.5,63,18,16,18
"80","Bs083","5",0,0,2,4,16,11,3.16667,1,3,2.16667,65,15,13.2836574606859,48.2213844647959
"81","Bs084","2",1,0,4,0,12,6,2.33333,2,2,2.16667,64.8571,14,5,43
"82","Bs085","3",1,0,1,0,10.6352821820251,6,0,0.109015832211389,0.379030764467097,0.5,80.6974223557768,11.5046629593125,8.88510658739388,29.1614135823744
