"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"40","1",0,1,4,2,3,1,3,2,2.5,5,4,4,4,5,5,4,5,3,2,4,4,4,4,2,3,2,1,2,5,5,3,2,1,2,3,0.533333333333333,58,0
"41","0",1,1,2,1,3,2,3,1,2,2,3,1,4,3,2,2,3,4,3.42857142857143,4,4,1,3,2,1,5,6,5,4,5,3,2,1,2,1.46153846153846,0.266666666666667,87,0
"42","1",0,1,1,1,1,1,1,2,1.16666666666667,5,5,5,5,5,5,5,5,5,5,3,5,5,3,1,1,1,1,1,6,6,1,1,1,1,1,0.6,99.2857142857143,0
"43","0",1,1,2,3,2,3,2,3,2.5,4,4,3,3,4,4,3,4,4,4,3,4,3,4,4,5,2,1,3,4,3,2,3,2,3,2,0.166666666666667,46.7142857142857,0
"44","0",1,1,3,1,1,1,3,3,2,5,5,5,5,5,5,4,3,1,5,5,5,5,5,3,4,1,1,1,1,1,6,6,1,1,1,0.233333333333333,5.85714285714286,0
"45","0",0,1,1,5,5,1,3,1,2.66666666666667,3,2,5,1,2,1,1,1,5,3,5,1,1,1,2,2,1,1,2,2,3,6,1,1,6,4,0.266666666666667,91.1428571428571,0
"46","1",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,2,1,1,2,6,6,6,6,6,0.5,14.1428571428571,0
"47","1",0,1,3,2,3,3,2,3,2.66666666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,3,4,3,3,3,3,3,0.6,50.1428571428571,0
"48","1",0,1,4,3,5,2,1,5,3.33333333333333,4,4,5,5,5,5,5,4,5,4,2,3,3,2,6,6,6,3,5,6,6,1,1,1,2,1,0.533333333333333,30,0
"49","1",1,1,1,1,2,1,3,2,1.66666666666667,5,3,3,3,4,4,3,4,5,5,5,5,4,5,1,1,1,1,1,6,6,1,1,1,1,1,0.733333333333333,90,0
"50","0",1,1,2,1,1,1,3,2,1.66666666666667,3,3,2,2,3,2,3,3,4,2,3,3,4,4,2,3,1,4,5,4,5,4,2,5,3,2,0.2,33.8571428571429,0
